__label__ClH	Hydrogen chloride
__label__Cl4Si	Silicon tetrachloride
__label__Cl3Si	Trichlorosilyl
__label__CHF	Fluoromethylene
__label__H4Si	Silane
__label__Cl2Si	Dichlorosilylene
__label__H3P	Phosphine
__label__H2P	Phosphino radical
__label__AlH	Aluminum hydride
__label__F3P	Phosphorus trifluoride
__label__H2S	Hydrogen sulfide
__label__Cl2	Chlorine
__label__C2H3BrO	Acetyl bromide
__label__CHS	Thioformyl radical
__label__F2	fluorine
__label__Al2	Dialuminum
__label__ClF	chlorine fluoride
__label__C4H6O	Methacrolein
__label__H2O2	Hydrogen peroxide
__label__C4H6O	Methyl vinyl ketone
__label__C2H2O	Oxirene
__label__F4Si	Silicon tetrafluoride
__label__ClD	Hydrochloric acid-d
__label__H3N	Ammonia
__label__BCl3	Boron trichloride
__label__F3OP	Phosphoryl fluoride
__label__F5P	Phosphorus pentafluoride
__label__CH2ClF	Methane, chlorofluoro-
__label__BrCl	bromine chloride
__label__Cl3HSi	Trichlorosilane
__label__I2	Iodine
__label__C2H4O3	Monomethyl carbonate
__label__O3S	sulphur trioxide
__label__H2O4S	Sulfuric Acid
__label__Ca	calcium
__label__CaO	calcium oxide
__label__CaF	Calcium monofluoride
__label__V	vanadium
__label__OV	vanadium oxide
__label__Ga	gallium
__label__C	carbon
__label__HI	Hydrogen iodide
__label__Cd	cadmium
__label__B	boron
__label__Ba	barium
__label__BaHO	Barium monohydroxide
__label__BaO	barium oxide, obtained by calcining witherite
__label__W	tungsten
__label__OW	Tungsten oxide
__label__Ti	titanium
__label__OTi	titanium oxide
__label__Na	sodium
__label__NaO	sodium oxide
__label__Si	silicon
__label__K	potassium
__label__KO	Monopotassium monooxide
__label__Hg	mercury
__label__ClHg	mercury chloride
__label__FHg	mercury fluoride
__label__BrHg	Mercury bromide
__label__Li	lithium
__label__LiO	Lithium monoxide
__label__ClLi	lithium chloride
__label__Pb	lead
__label__Fe	iron
__label__FeO	iron oxide
__label__C4N2	2-Butynedinitrile
__label__CClNO	Chlorine isocyanate
__label__CH2O2	Dioxirane
__label__CH3Cl	Chloromethane
__label__C2H4O2	1,2-Dioxetane
__label__C4H5NO	Isoxazole, 5-methyl-
__label__C5H6	Bicyclo[2.1.0]pent-2-ene
__label__C5H6	1,3-Cyclopentadiene
__label__C3H4O	Cyclopropanone
__label__C7H10	1,3-Cycloheptadiene
__label__C4H7Cl	(Z)-1-chlorobut-2-ene
__label__C4H6	1,2-Butadiene
__label__C2H6N2O2	Methanamine, N-methyl-N-nitro-
__label__C2N2	Cyanogen
__label__Cl2H2Si	Dichlorosilane
__label__C3H6O	Acetone
__label__C8H12	(Z,E)-1,3-Cyclooctadiene
__label__C8H12	1,3-Cyclooctadiene, (Z,Z)-
__label__CHFO	Formyl fluoride
__label__CH3F	Methyl fluoride
__label__C4H11N	Ethanamine, N-ethyl-
__label__ClNO	Nitrosyl chloride
__label__CCl2	Dichloromethylene
__label__CH2Cl2	Methylene chloride
__label__CHF3	Fluoroform
__label__CHCl	Chloromethylene
__label__C4H6O	2-Butenal
__label__C2HF3O2	Trifluoroacetic acid
__label__C2H4O3	peracetic acid
__label__CCl3	Trichloromethyl radical
__label__CHCl3	Trichloromethane
__label__C2H6O2	ethyl hydroperoxide
__label__C6H2	1,3,5-Hexatriyne
__label__C4H10O	2-Propanol, 2-methyl-
__label__CH4O2	Methyl peroxide
__label__C3H3	Propargyl radical
__label__C3H2O	2-Propynal
__label__C2H3O	Acetyl radical
__label__C3H4	Cyclopropene
__label__CH2F2	Difluoromethane
__label__C2H4O	Ethylene oxide
__label__CN2	Amidogen, methanetetraylbis-
__label__C6H8	1,3,5-Hexatriene, (Z)-
__label__C6H8	1,3-Cyclohexadiene
__label__CN2	CNN Radical
__label__C3H5	Allyl radical
__label__C6H5	Phenyl radical
__label__CF3I	Methane, trifluoroiodo-
__label__BaI	Barium monoiodide
__label__C3H5F3O	3,3,3-Trifluoro-1-propanol
__label__CH2N2	Methane, diazo-
__label__CH3NO2	Methane, nitro-
__label__ClI	Iodine monochloride
__label__CH3I	Methane, iodo-
__label__BrI	iodine bromide
__label__CH3Br	Methane, bromo-
__label__C4H8	2-Butene, (E)-
__label__C2H3Cl	Ethene, chloro-
__label__C2H6	Ethane
__label__CF2	Methylene, difluoro-
__label__CF	Fluoromethylidyne
__label__C7H7	Benzyl radical
__label__CH3NO2	Methyl nitrite
__label__C3H7	n-Propyl radical
__label__C4H10	Butane
__label__C3H7	Isopropyl radical
__label__C3H6	Cyclopropane
__label__C6H12O2	cyclohexyl hydroperoxide
__label__ClO2	Chlorine dioxide
__label__C6H5O	Phenoxy radical
__label__C12H8O	Dibenzofuran
__label__CH2N2	3H-Diazirine
__label__C3H5Br	1-Propene, 3-bromo-
__label__C4H8	1-Butene
__label__CHClF2	Difluorochloromethane
__label__CClF3	Chlorotrifluoromethane
__label__CFO	Carbonyl fluoride
__label__CF4O2	Bis(fluoroxy)perfluoromethane
__label__CHCl2F	Fluorodichloromethane
__label__C5H12O	Propane, 2-methoxy-2-methyl-
__label__C4H9	Tert-butyl radical
__label__C4H8	1-Propene, 2-methyl-
__label__C5H8	1,3-Pentadiene, (Z)-
__label__C5H8	Cyclopentene
__label__CHBrF2	Methane, bromodifluoro-
__label__B2O2	Diboron dioxide
__label__OPb	Lead oxide
__label__BeO	beryllium oxide
__label__C4H6O	Cyclobutanone
__label__C4H5N	(Z)-2-Butenenitrile
__label__C5H8	Cyclobutane, methylene-
__label__C3H6S	Thiirane, methyl-
__label__C3HN	Propiolonitrile
__label__C4H6OS	Dihydro-3-(2H)-thiophenone
__label__C8H8	Styrene
__label__C5H6O	Furan, 3-methyl-
__label__C4H6	Cyclobutene
__label__C6H12O	Cyclohexanol
__label__C5H10O	1-(vinyloxy)propane
__label__C5H8	Cyclopropane,ethenyl-
__label__C6H10	1-Hexyne
__label__C4H4	1-Buten-3-yne
__label__C4H4	1,2,3-Butatriene
__label__C4H4	Cyclobutadiene
__label__C4H2	1,3-Butadiyne
__label__C2H7N	Dimethylamine
__label__C3F6O	2-Propanone, 1,1,1,3,3,3-hexafluoro-
__label__C9H8	Benzene, 1-propynyl-
__label__F5S	Sulfur pentafluoride
__label__C8H14	1-Octyne
__label__C7H12	1-Heptyne
__label__C5H12O	Butane, 1-methoxy-
__label__C4H8O	Butanal
__label__C4H5N	but-2(E)-enenitrile
__label__C5H10	2-Pentene, (Z)-
__label__C5H8	1-Pentyne
__label__C6H10	Cyclohexene
__label__C6H8O	Furan, 2,5-dimethyl-
__label__CH2N2O4	Dinitromethane
__label__C2H5NO3	Nitric acid, ethyl ester
__label__C2H6S2	Disulfide, dimethyl
__label__C3H8S	Ethane, (methylthio)-
__label__C2H4ClI	Ethane, 1-chloro-2-iodo-
__label__C8H20Sn	Stannane, tetraethyl-
__label__CBr2O	Carbonic dibromide
__label__C2H6Hg	Mercury, dimethyl-
__label__C2HCl	Ethyne, chloro-
__label__C2H3Br	Vinyl bromide
__label__C6H10	1,5-Hexadiene
__label__C5H8O2	Allyl acetate
__label__C6H12O	2-Hexanone
__label__C9H8	Indene
__label__C4H8	2-Butene, (Z)-
__label__C12H12	Naphthalene, 1,8-dimethyl-
__label__C6H12	2-Butene, 2,3-dimethyl-
__label__C4H9I	tert-Butyl iodide
__label__C2H3IO	Acetyl iodide
__label__CBr4	Carbon tetrabromide
__label__C3H5Cl	1-Propene, 2-chloro-
__label__C2H6Zn	Dimethylzinc
__label__CH3Zn	Methyl zinc
__label__Zn	zinc
__label__C7H8	1,3,5-Cycloheptatriene
__label__C6H4Cl2	Benzene, 1,3-dichloro-
__label__C6H12O2	Acetic acid, 1,1-dimethylethyl ester
__label__C3H7Cl	n-Propyl chloride
__label__C8H6	Phenylethyne
__label__C5H6O	Furan, 2-methyl-
__label__C6H10	1,3-Butadiene, 2,3-dimethyl-
__label__C5H10	2-Butene, 2-methyl-
__label__C4H9Cl	Propane, 2-chloro-2-methyl-
__label__C2H3ClO	Acetyl chloride
__label__C4H9Br	Propane, 2-bromo-2-methyl-
__label__CIN	Cyanogen iodide
__label__CClN	Cyanogen chloride
__label__C3O2	1,2-Propadiene-1,3-dione
__label__C3H6O	Trimethylene oxide
__label__C8H8	1,4-Cyclohexadiene,3,6-bis(methylene)-
__label__C14H10	Diphenylacetylene
__label__C5H12	Neopentane
__label__C2H3F3	Ethane, 1,1,1-trifluoro-
__label__Cu	copper
__label__C3	Tricarbon
__label__C5H4	1,3-Pentadiyne
__label__C3F6	Propene, hexafluoro-
__label__C3H3F3O2	Methyl trifluoroacetate
__label__C2H2BrF3	2-Bromo-1,1,1-trifluoroethane
__label__C3H6F2	Propane, 2,2-difluoro-
__label__C2H4S	Thiirane
__label__C2H4S	Thioacetaldehyde
__label__CF4O	trifluoromethyl hypofluorite
__label__C4F8	Octafluoro-2-butene
__label__C2HF3	Ethene, trifluoro-
__label__C2H2F3I	1,1,1-Trifluoro-2-iodoethane
__label__C4H10S	Diethyl sulfide
__label__C2H2F2	Ethene, 1,1-difluoro-
__label__H4N2	Hydrazine
__label__C3H3N3	1,3,5-Triazine
__label__CH2N4	1H-Tetrazole
__label__C3H3NO	Isoxazole
__label__C4H8	Cyclobutane
__label__C7H10	Tricyclo[4.1.0.0(2,7)]heptane
__label__C8H8	Cubane
__label__C22H14	Dibenz[a,j]anthracene
__label__C16H10	Fluoranthene
__label__C18H12	Benzo[c]phenanthrene
__label__C22H12	Benzo[ghi]perylene
__label__C24H12	Coronene
__label__C5H8	Spiropentane
__label__C4H10O	Methyl propyl ether
__label__C3H8O	Ethane, methoxy-
__label__C2H2Cl2	Ethylene, 1,2-dichloro-, (E)-
__label__C2H2Cl2	Ethylene, 1,2-dichloro-, (Z)-
__label__C8H18O	n-Butyl ether
__label__C5H10O	Tetrahydropyran
__label__C22H14	Pentacene
__label__C16H10	Pyrene
__label__BO	Boron monoxide
__label__C4H6O	2-Butenal, (E)-
__label__C7H14O	4-Heptanone
__label__C3H6N6O6	Cyclonite
__label__C7H8	2,5-Norbornadiene
__label__C7H6N2O4	Benzene, 1-methyl-2,4-dinitro-
__label__C14H10	Anthracene
__label__C7H5N3O6	Trinitrotoluene
__label__CCl4	Carbon Tetrachloride
__label__C3H2F4	1,1,2,2-Tetrafluorocyclopropane
__label__C4H9	Isobutyl radical
__label__C5H11	2-Methylbut-2-yl radical
__label__C2H6O	Dimethyl ether
__label__C2H3F	Ethene, fluoro-
__label__C3H6O	2-Propen-1-ol
__label__C4H9	2-Butyl radical
__label__C8H16	1-Octene
__label__C6H12O	Butane, 1-(ethenyloxy)-
__label__C5H5N	Pyridine
__label__C6H12	Cyclohexane
__label__C3H8O	Isopropyl Alcohol
__label__C4H10S2	Diethyl disulfide
__label__C6H14	n-Hexane
__label__C8H18O2	Di-tert-butyl peroxide
__label__C4H5N	Pyrrole
__label__C3H8O2	Methylal
__label__C4H9Br	Butane, 1-bromo-
__label__C6H6O	Phenol
__label__C6H6O2	1,2-Benzenediol
__label__C6H5Cl	Benzene, chloro-
__label__C7H8	Toluene
__label__C9H12	Mesitylene
__label__C7H8O	Phenol, 3-methyl-
__label__C5H10O2	Isopropyl acetate
__label__C6H14O	Diisopropyl ether
__label__C4H6O2	Acetic acid ethenyl ester
__label__C2H2O2	Glyoxal
__label__C3H3N	2-Propenenitrile
__label__C3H9N	Propylamine
__label__C3H7I	Propane, 1-iodo-
__label__C2H4Cl2	Ethane, 1,2-dichloro-
__label__C3H5Cl	Allyl chloride
__label__C4H6	1-Butyne
__label__C10H10	Benzene, 1-butynyl-
__label__C10H10	1,4-Dihydronaphthalene
__label__C3H7Br	Propane, 1-bromo-
__label__C6H4Cl2	Benzene, 1,4-dichloro-
__label__C7H8O	p-Cresol
__label__C8H10	p-Xylene
__label__C5H10O3	Diethyl carbonate
__label__C5H10O2	Propanoic acid, ethyl ester
__label__C14H12	(E)-Stilbene
__label__C7H6O	Benzaldehyde
__label__C8H10	Ethylbenzene
__label__C6H5NO2	Benzene, nitro-
__label__C5H4O2	Furfural
__label__C4H6O2	Butyrolactone
__label__C6H4Cl2	Benzene, 1,2-dichloro-
__label__C7H8O	Phenol, 2-methyl-
__label__C18H12	Naphthacene
__label__C9H7N	Quinoline
__label__C10H8	Naphthalene
__label__C12H18	Benzene, hexamethyl-
__label__C14H10	Phenanthrene
__label__C8H9NO2	Benzene, 1,3-dimethyl-2-nitro-
__label__C5H8O2	Methyl methacrylate
__label__C4H6O2	2-Propenoic acid, 2-methyl-
__label__C2ClF3	Ethene, chlorotrifluoro-
__label__C2Cl2O2	Oxalyl chloride
__label__C6H14	Butane, 2,3-dimethyl-
__label__C2H5NO2	Ethyl-nitrite-
__label__C3H6O2	Acetic acid, methyl ester
__label__C3H6O2	Propanoic acid
__label__C2H2Cl2O	Acetyl chloride, chloro-
__label__C2HCl3	Trichloroethylene
__label__C2H3Cl3	Ethane, 1,1,2-trichloro-
__label__C3H4O2	Methyl glyoxal
__label__C5H8	Isoprene
__label__C4H10O2	tert-Butyl Hydroperoxide
__label__CH3Cl3Si	Silane, trichloromethyl-
__label__CF4	Tetrafluoromethane
__label__CCl2F2	Dichlorodifluoromethane
__label__CCl3F	Trichloromonofluoromethane
__label__CBrF3	Bromotrifluoromethane
__label__BrK	potassium bromide
__label__CBrCl3	Methane, bromotrichloro-
__label__C3H6O	Propylene oxide
__label__C3H6O	Ethene, methoxy-
__label__C2H4Cl2	Ethane, 1,1-dichloro-
__label__C3H9N	2-Propanamine
__label__C3H7Cl	Propane, 2-chloro-
__label__C4H10	Isobutane
__label__C3H7Br	Propane, 2-bromo-
__label__CHBr3	Methane, tribromo-
__label__C4H8	Methylcyclopropane
__label__C3H6I2	Propane, 1,3-diiodo-
__label__C2H6S	Dimethyl sulfide
__label__C2H6OS	Dimethyl Sulfoxide
__label__CS2	Carbon disulfide
__label__C2H6S	Ethanethiol
__label__C2H7N	Ethylamine
__label__C2H5I	Ethane, iodo-
__label__C2H5Cl	Ethyl Chloride
__label__Zr	zirconium
__label__CH2BrCl	Methane, bromochloro-
__label__C2H5Br	Ethyl bromide
__label__CH5N	Methylamine
__label__CHP	Methinophosphide
__label__C4H7N	1-Pyrroline
__label__C5H10	Cyclopropane, 1,1-dimethyl-
__label__C2H4O3	1,2,3-Trioxolane
__label__Nb	niobium
__label__C8H12	1,3-Cyclooctadiene
__label__C4H6	Methylenecyclopropane
__label__C8H12	Bicyclo[2.2.2]oct-2-ene
__label__C7H10	2-Norbornene
__label__C5H10	1-Pentene
__label__C4H12Ge	Germane, tetramethyl-
__label__C5H12	Butane, 2-methyl-
__label__C4H12Sn	Stannane, tetramethyl-
__label__C4H12Si	Silane, tetramethyl-
__label__Li2O	dilithium oxide
__label__Li2	Lithium dimer
__label__HLiO	lithium hydroxide
__label__MgO	magnesium oxide
__label__HMgO	Magnesium monohydroxide
__label__C2H3Cl3	Ethane, 1,1,1-trichloro-
__label__C6H8	1,4-Cyclohexadiene
__label__C4H10O	1-Butanol
__label__C4H5N3O	Cytosine
__label__C3H8O	1-Propanol
__label__C7H6O3	Salicylic acid
__label__C2H6O2S	Dimethyl sulfone
__label__C4H10O	Propane, 2-methoxy-
__label__Be	beryllium
__label__C5H6N2O2	Thymine
__label__CH6N2	Hydrazine, methyl-
__label__C4H10O	Ethyl ether
__label__C2H8N2	Hydrazine, 1,1-dimethyl-
__label__C3HNO	Cyanoketene
__label__C18H12	Benz[a]anthracene
__label__C5H8O	3,6-Dihydro-2H-pyran
__label__Xe	Xenon
__label__C2F3N	Acetonitrile, trifluoro-
__label__C2F6O2	bis(trifluoromethyl) peroxide
__label__He	helium
__label__Ar	Argon
__label__C6H15N	Triethylamine
__label__FN	Fluoroimidogen
__label__F6S	Sulfur hexafluoride
__label__C2F6	Ethane, hexafluoro-
__label__BrN	Bromoimidogen
__label__C3F8	Perfluoropropane
__label__C2H3FO	acetyl fluoride
__label__C4	Tetracarbon
__label__CB	boron carbide
__label__C3H8O2	Propylhydroperoxide
__label__C7H5N	Benzonitrile
__label__CH3NO	Formamide
__label__BeHO	Beryllium hydroxide
__label__C4H12Pb	Lead, tetramethyl-
__label__Kr	Krypton
__label__C3H3NO	Oxazole
__label__C3H4N2	1H-Pyrazole
__label__C4H9N	Pyrrolidine
__label__C4H8O2	Ethyl Acetate
__label__C6H10O	Cyclohexanone
__label__C6H10O2	2-Oxepanone
__label__C2Si	Silicon dicarbide
__label__C2HBr	Acetylene, bromo-
__label__CCl	Chloromethylidyne
__label__C4H8S	Thiophene, tetrahydro-
__label__CH3NO3	Methyl nitrate
__label__C4H11N	sec-Butylamine
__label__C4H11N	Isobutylamine
__label__CI4	Methane, tetraiodo-
__label__C8H8O	Acetophenone
__label__C5	Carbon
__label__INO	Nitrosyl iodide
__label__C2H6S2	1,2-Ethanedithiol
__label__Cl2O	Dichlorine monoxide
__label__C7H3MnO6	Manganese, acetylpentacarbonyl-, (OC-6-21)-
__label__BF2	Difluoroboryl radical
__label__BF3	Boron trifluoride
__label__DS	Mercapto-d
__label__C6H3MnO5	Manganese, pentacarbonylmethyl-
__label__D2S	Hydrogen sulfide-d2
__label__BrF	Bromine monofluoride
__label__F10S2	disulphur decafluoride
__label__BCl2	Dichloroboron
__label__CClFO	Carbonic chloride fluoride
__label__Br2Hg	Mercury(II) bromide
__label__F4S	Sulfur tetrafluoride
__label__HgI	mercury iodide
__label__HNaO	Sodium hydroxide
__label__AlF	Aluminum monofluoride
__label__AlCl	Aluminum monochloride
__label__Cs	Cesium
__label__ClNa	sodium chloride
__label__C3H7NO2	iso-Propyl nitrite
__label__C12H10	Biphenyl
__label__C3H6O	(Z)-1-Propenol
__label__C3H6O	(E)-1-Propenol
__label__HKO	Potassium hydroxide
__label__C6H4	m-Benzyne
__label__C7H8	5-Methylene 1,3-cyclohexadiene
__label__C7H8	3-Methylene-1,4-cyclohexadiene
__label__C6H14	Butane, 2,2-dimethyl-
__label__C7H16	Butane, 2,2,3-trimethyl-
__label__C8H18	Butane, 2,2,3,3-tetramethyl-
__label__C3H5N	Ethyl isocyanide
__label__C6H12	1-Hexene
__label__C2H3F3	1,1,2-Trifluoroethane
__label__C2HBrClF3	1-Bromo-2-chloro-1,1,2-trifluoroethane
__label__C2HBrClF3	Halothane
__label__C2Cl4	Tetrachloroethylene
__label__C4F8	Cyclobutane, octafluoro-
__label__C4H5N	3-Butenenitrile
__label__C4H7N	Butanenitrile
__label__C6H7N	Pyridine, 2-methyl-
__label__C6H7N	Pyridine, 3-methyl-
__label__C6H7N	Pyridine, 4-methyl-
__label__C3H5N	Propanenitrile
__label__C2H4F2	Ethane, 1,1-difluoro-
__label__CH2I2	Methane, diiodo-
__label__C2ClF5	Pentafluoroethyl chloride
__label__C2Cl2F4	Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-
__label__C2Cl3F3	Ethane, 1,1,2-trichloro-1,2,2-trifluoro-
__label__FLi	Lithium fluoride
__label__C5H12O	Amylene hydrate
__label__C6H12O	2-Butanone, 3,3-dimethyl-
__label__C7H14O	2-Pentanone, 4,4-dimethyl-
__label__F3NO	Trifluoroamine oxide
__label__C2H2O3	Formic acid anhydride
__label__C5H10O	Pentanal
__label__C2H4Br2	Ethane, 1,1-dibromo-
__label__F2H2	Hydrogen fluoride dimer
__label__C5H10O	Cyclopentanol
__label__C5H8O	Cyclopentanone
__label__C4H10O2	Ethane, 1,2-dimethoxy-
__label__ClF3	chlorine trifluoride
__label__Cr	chromium
__label__CrO	Chromium monoxide
__label__CsO	Monocesium monoxide
__label__C3H4O	Methylketene
__label__C2Cl6	Ethane, hexachloro-
__label__C4H6O2	2,3-Butanedione
__label__C9H20O2	Dibutoxymethane
__label__C4H9Cl	Butane, 1-chloro-
__label__C14H14	Bibenzyl
__label__C5H8	1,3-Pentadiene, (E)-
__label__C9H18	Cyclohexane, propyl-
__label__C6H14O	Butane, 2-methoxy-2-methyl-
__label__C8H14	Cyclooctene
__label__C6H10	Cyclopentene, 1-methyl-
__label__C10H22O	n-Amyl ether
__label__C6H12	1-Pentene, 4-methyl-
__label__C2H6O2	Peroxide, dimethyl
__label__C3H6O2	1,3-Dioxolane
__label__C5H10	2-Pentene, (E)-
__label__C6H14O	Propane, 2-ethoxy-2-methyl-
__label__C6H14O2	Ethane, 1,2-diethoxy-
__label__C7H12	Cycloheptene
__label__C4H10Hg	Mercury, diethyl-
__label__C6H12O2	Propanoic acid, 2,2-dimethyl-, methyl ester
__label__C4H6O	Dimethylketene
__label__C7H16	Hexane, 2-methyl-
__label__C7H12	Cyclohexene, 1-methyl-
__label__C7H16	Hexane, 3-methyl-
__label__C8H18	Pentane, 2,3,4-trimethyl-
__label__C5H10	2-Methyl-1-butene
__label__C5H10	1-Butene, 3-methyl-
__label__C6H12	1-Butene, 3,3-dimethyl-
__label__C3H7NO2	Propyl nitrite
__label__C8H18	Pentane, 2,2,4-trimethyl-
__label__C4H8O2	1,3-Dioxane
__label__C5H12O2	Methane, diethoxy-
__label__ClS	Sulfur chloride
__label__C6F6	Benzene, hexafluoro-
__label__C8H16	Cyclooctane
__label__C7H14	Cycloheptane
__label__C5H10	Cyclopentane
__label__C7H16	Heptane
__label__C7H16O2	Propane, 2,2-diethoxy-
__label__C10H22	Decane
__label__C4H8O2	1,4-Dioxane
__label__C9H20	Nonane
__label__C8H18	Octane
__label__C6H14S	Propyl sulfide
__label__C6H14O	Di-n-propyl ether
__label__C4H4S	Thiophene
__label__C4H4O	Furan
__label__C3H6O2	Ethyl formate
__label__C4H8O	Ethene, ethoxy-
__label__C3H8O2	Ethanol, 2-methoxy-
__label__C5H12	Pentane
__label__C7H14	Cyclohexane, methyl-
__label__C8H10	Benzene, 1,3-dimethyl-
__label__C5H10O	2-Pentanone
__label__C3H5ClO	Oxirane, (chloromethyl)-
__label__C6H12	Cyclopentane, methyl-
__label__C5H10O	3-Pentanone
__label__C8H10	o-Xylene
__label__C3H6Cl2	Propane, 1,2-dichloro-
__label__C4H8O	Propanal, 2-methyl-
__label__C4H10O	1-Propanol, 2-methyl-
__label__C5H12O2	Propane, 2,2-dimethoxy-
__label__C6H7N	Aniline
__label__F2O2S	Sulfuryl fluoride
__label__C4H7NO	2-Pyrrolidinone
__label__C3H9Al	Trimethylaluminum
__label__F2S2	Difluorodisulfane
__label__C5H10O	Oxetane, 3,3-dimethyl-
__label__C3CrO3	Cr(CO)3
__label__HSi	Silylidyne
__label__ClSi	Clorosilylidyne
__label__C4CrO4	Cr(CO)4
__label__C4FeO4	Iron tetracarbonyl
__label__D2N2	Diazene-d2, cis
__label__C2H6O2	1,2-Ethanediol
__label__C2H6N2O2	(E)-Azodioxymethane
__label__C2H3Cl	Methylchlorocarbene
__label__CH4O2	methanediol
__label__Ge	germanium
__label__C6H6O	2,4-Cyclohexadienone
__label__C6H6O	2,5-Cyclohexadienone
__label__S4	Tetrasulfur
__label__BCl	Boron monochloride
__label__B5H9	Pentaborane(9)
__label__OS2	Disulfur monoxide
__label__C5H7N	3-Pentenenitrile, (3E)-
__label__C2H4I2	Ethane, 1,2-diiodo-
__label__C3H5Cl	trans-1-Chloropropene
